Date,Company,City,ZIP,County,Employees,Regional Commission,MSA
Mar 24,"Coral Hospitality-GA, LLC",Dawsonville,30534,Dawson County,59,Georgia Mountains,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 28,Accurate reliable measurement,roberta,31078,Crawford County,7,Middle Georgia,"Macon-Bibb County, GA"
Apr 17,Select Medical,Atlanta,30354,Fulton County,60,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 27,"Aludyne Columbus, LLC",Columbus,31904,Muscogee County,166,River Valley,"Columbus, GA-AL"
Apr 27,"Trophy & Gift Center, Inc.",Augusta,30904,Richmond County,1,CSRA,"Augusta-Richmond County, GA-SC"
Apr 26,Retrospective Salon LLC,Acworth,30101,Cobb County,1,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 14,The Hertz Corporation,College Park`,30337,Clayton County,162,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
May 07,Gate Gourmet,Atlanta,30354,Fulton County,392,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
May 07,Gate Gourmet,Atlanta,30354,Fulton County,1429,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
May 07,Gate Gourmet,Atlanta,30354,Fulton County,180,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Asbury Automotive,Duluth,30096,Gwinnett County,15,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Asbury Automotive,Alpharetta,30009,Fulton County,10,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Asbury Automotive,Roswell,30076,Fulton County,10,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 17,"SodexoMagic, Delta Sky Club",Atlanta,30320,Clayton County,246,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 30,Havertys Furniture Companies,Braselton,30517,Jackson County,122,Northeast,"Jefferson, GA"
May 01,Parkway Products LLC,Marietta,30066,Cobb County,58,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
May 01,Gulfstream Aerospace Corporation,Savannah,31408,Chatham County,699,Coastal,"Savannah, GA"
Mar 17,Regal Corporate Headquarters,Atlanta,30363,Fulton County,43,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 23,YKK U.S.A. Inc.,Macon,31217,Bibb County,80,Middle Georgia,"Macon-Bibb County, GA"
Apr 04,BAC Local 8 SE,Atlanta,30312,Fulton County,3,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 12,Atrium Hospitality,Atlanta,30326,Fulton County,145,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
May 09,VMC Specialty Alloys LLC,Adairsville,30103,Bartow County,120,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 04,Vision Works (Alpharetta),Alpharetta,30022,Fulton County,4,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 04,Vision Works (Lithonia),Lithonia,30038,DeKalb County,9,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 04,Vision Works (Tucker),Tucker,30084,DeKalb County,6,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 04,Vision Works (Duluth),Duluth,30096,Gwinnett County,9,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 04,Vision Works (Kennesaw),Kennesaw,30144,Cherokee County,10,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 04,Vision Works (Cumberland Mall-Atlanta),Atlanta,30329,Fulton County,6,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 04,Vision Works (Buford),Buford,30519,Gwinnett County,9,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 04,Vision Works (Douglasville),Douglasville,30135,Douglas County,12,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 04,Vision Works (Fayetteville),Fayetteville,30214,Clayton County,10,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 04,Vision Works (Snellville),Snellville,30078,Gwinnett County,10,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 04,Vision Works (Canton),Canton,30114,Cherokee County,3,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 04,Vision Works (East Point),East Point,30344,Fulton County,5,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 04,Vision Works (Hiram),Hiram,30141,Paulding County,7,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 04,Vision Works (McDonough),McDonough,30253,Clayton County,7,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 04,Vision Works (Newnan),Newnan,30265,Coweta County,9,Three Rivers,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 04,Vision Works (Cumming),Cumming,30041,Forsyth County,5,Georgia Mountains,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 04,Vision Works (Columbus),Columbus,31909,Muscogee County,3,River Valley,"Columbus, GA-AL"
Apr 04,Vision Works (Savannah),Savannah,31406,Chatham County,4,Coastal,"Savannah, GA"
Apr 04,Vision Works (Pooler),Pooler,31322,Chatham County,6,Coastal,"Savannah, GA"
Apr 04,Vision Works (Warner Robbins),Warner Robbins,31093,Houston County,2,Middle Georgia,"Warner Robins, GA"
Apr 04,Vision Works (Athens),Athens,30606,Clarke County,6,Northeast,"Athens-Clarke County, GA"
Apr 04,Vision Works (August),Augusta,30909,Richmond County,4,CSRA,"Augusta-Richmond County, GA-SC"
Apr 04,Vision Works (Gainesville),Gainesville,30501,Hall County,8,Georgia Mountains,"Gainesville, GA"
Apr 04,Vision Works (Peachtree City),Peachtree City,30269,Fayette County,3,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 04,Vision Works (Macon),Macon,31210,Bibb County,5,Middle Georgia,"Macon-Bibb County, GA"
Apr 04,Vision Works (Cartersville),Cartersville,30121,Bartow County,6,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Bonefish 1701),St. Simons Island,31522,Glynn County,34,Coastal,"Brunswick, GA"
Mar 15,Bloomin Brands (Bonefish 1702),Augusta,31522,Richmond County,80,CSRA,"Augusta-Richmond County, GA-SC"
Mar 15,Bloomin Brands (Bonefish 1703),Savannah,31405,Chatham County,51,Coastal,"Savannah, GA"
Mar 15,Bloomin Brands (Bonefish 1704),Alpharetta,30005,Fulton County,44,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Bonefish 1705),Macon,31210,Bibb County,72,Middle Georgia,"Macon-Bibb County, GA"
Mar 15,Bloomin Brands (Bonefish 1706),Snellville,30078,Gwinnett County,58,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Bonefish 1707),Buford,30519,Gwinnett County,47,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Bonefish 1709),Columbus,31909,Muscogee County,48,River Valley,"Columbus, GA-AL"
Mar 15,Bloomin Brands (Bonefish 1712),Atlanta,30339,Fulton County,62,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Carrabbas 1101),Macon,31210,Bibb County,97,Middle Georgia,"Macon-Bibb County, GA"
Mar 15,Bloomin Brands (Carrabbas 1102),Kennesaw,30144,Cobb County,67,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Carrabbas 1105),Atlanta,30339,Fulton County,51,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Carrabbas 1108),Morrow,30260,Clayton County,86,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin' Brands (Outback 1114),Snellville,30078,Gwinnett County,88,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Carrabbas 1109),Augusta,30909,Richmond County,71,CSRA,"Augusta-Richmond County, GA-SC"
Mar 15,Bloomin Brands (Carrabbas 6110),Savannah,31419,Chatham County,73,Coastal,"Savannah, GA"
Mar 15,Bloomin' Brands (Outback 1116),Athens,30606,Clarke County,71,Northeast,"Athens-Clarke County, GA"
Mar 15,Bloomin Brands (Carrabbas 6111),Columbus,31909,Muscogee County,59,River Valley,"Columbus, GA-AL"
Mar 15,Bloomin Brands (Carrabbas 6112),Duluth,30097,Gwinnett County,73,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Outback 1119),Kennesaw,30144,Cobb County,82,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Outback 1120),Douglasville,30135,Douglas County,98,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Outback 1121),Conyers,30012,Rockdale County,85,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Carrabbas 6113),Peachtree City,30269,Fayette County,83,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Carrabbas 6114),Athens,30306,Clarke County,59,Northeast,"Athens-Clarke County, GA"
Mar 15,Bloomin Brands (Carrabbas 6115),Atlanta,30346,Fulton County,43,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Carrabbas 6116),Douglasville,30135,Douglas County,51,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Carrabbas 6117),Cumming,30041,Forsyth County,60,Georgia Mountains,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Flemings 2101),Atlanta,30346,Fulton County,50,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Outback 1113),Atlanta,30329,Fulton County,73,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Outback 1122),Suwanee,30024,Gwinnett County,65,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Outback 1123),Gainesville,30501,Hall County,64,Georgia Mountains,"Gainesville, GA"
Mar 15,Bloomin Brands (Outback 1124),Peachtree City,30269,Fayette County,80,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Outback 1125),Canton,30114,Cherokee County,47,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Outback 1126),Roswell,30075,Fulton County,43,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Outback 1128),Dalton,30720,Whitfield County,75,Northwest,"Dalton, GA"
Mar 15,Bloomin Brands (Outback 1129),Cumming,30041,Forsyth County,91,Georgia Mountains,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Outback 1130),Columbus,31904,Muscogee County,63,River Valley,"Columbus, GA-AL"
Mar 15,Bloomin Brands (Outback 1131),Augusta,30909,Richmond County,94,CSRA,"Augusta-Richmond County, GA-SC"
Mar 15,Bloomin Brands (Outback 1132),Macon,31210,Bibb County,73,Middle Georgia,"Macon-Bibb County, GA"
Mar 15,Bloomin Brands (Outback 1133),Savannah,31419,Chatham County,70,Coastal,"Savannah, GA"
Mar 15,Bloomin Brands (Outback 1134),Albany,31707,Dougherty County,71,Southwest,"Albany, GA"
Mar 15,Bloomin Brands (Outback 1135),Valdosta,31601,Lowndes County,65,Southern,"Valdosta, GA"
Mar 15,Bloomin Brands (Outback 1137),Warner Robins,31093,Houston County,74,Middle Georgia,"Warner Robins, GA"
Mar 15,Bloomin Brands (Outback 1170),Stockbridge,30281,Henry County,96,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Outback 1171),Rome,30161,Floyd County,82,Northwest,"Rome, GA"
Mar 15,Bloomin Brands (Outback 1173),Atlanta,30346,Fulton County,53,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Bloomin Brands (Outback 1174),Commerce,30529,Jackson County,56,Northeast,"Jefferson, GA"
Mar 15,Bloomin Brands (Outback 1175),Alpharetta,30022,Fulton County,70,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
May 12,Trinity Industries Inc.,Cartersville,30121,Bartow County,138,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 24,The Staffing People,Americus,31709,Sumter County,36,River Valley,"Americus, GA"
May 15,Sodexo (Middle GA State University),Cochran,31014,Laurens County,97,Heart of Georgia,"Dublin, GA"
Jan 07,ICOT Holdings LLC,Savannah,31401,Chatham County,74,Coastal,"Savannah, GA"
Jan 13,Ryder System,Augusta,30906,Richmond County,50,CSRA,"Augusta-Richmond County, GA-SC"
Jan 15,Colorado Premium,Carrollton,30117,Carroll County,206,Three Rivers,"Atlanta-Sandy Springs-Alpharetta, GA"
Jan 13,Resolute Forest Products,Augusta,30906,Richmond County,150,CSRA,"Augusta-Richmond County, GA-SC"
Jan 17,Concentrix Corporation,Valdosta,31605,Lowndes County,85,Southern,"Valdosta, GA"
Jan 25,Southern Crescent Behavioral Health System,Stockbridge,30281,Henry County,167,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
