Date,Company,City,ZIP,County,Employees,Regional Commission,MSA
Mar 09,"Absolute Entertainment, Inc",Milton,30004,Fulton County,2,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 18,MAXIMUM SOLUTIONS GROUP LLC,Pooler,31322,Chatham County,10,Coastal,"Savannah, GA"
Mar 20,"Quixote Studios, LLC",Austell,30168,Cobb County,10,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 20,"Quixote Studios, LLC",Atlanta,30316,Fulton County,13,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 19,Personal Touch Salon,Gainesville,30506,Hall County,1,Georgia Mountains,"Gainesville, GA"
Mar 30,KAYBEE OF MACON INC,Macon,31201,Bibb County,9,Middle Georgia,"Macon-Bibb County, GA"
Mar 19,Hunt Enterprises LLC,DAHLONEGA,30533,Lumpkin County,2,Georgia Mountains,
Mar 17,"America's Auto Auction Atlanta, Inc.",Cartersville,30120,Bartow County,65,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 25,Carol's Pampered Pets,savannah,31406,Chatham County,4,Coastal,"Savannah, GA"
Mar 27,"Wencor Group, LLC",Peachtree City,30269,Fayette County,57,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 24,CTC FAM LLC,"Dunwoody, GA",30338,DeKalb County,1,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 27,new nails Salon,Vidalia,30474,Toombs County,3,Heart of Georgia,"Vidalia, GA"
Mar 30,"Drive Time Car Sales Company, LLC",Stockbridge,30281,Henry County,128,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 23,PEG Smyrna Property LLC,Sm\,30080,Cobb County,10,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 29,Paper Source,Alpharetta,30009,Fulton County,10,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 29,Paper Source,Atlanta,30306,Fulton County,11,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 29,Paper Source,Atlanta,30326,Fulton County,8,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 01,"Ritchey Enterprises, Inc.",Athens,30606,Clarke County,1,Northeast,"Athens-Clarke County, GA"
Mar 24,River Street Tavern Inc,Ellijay,30540,Gilmer County,29,Northwest,
Mar 16,Marriott Hotels & Resorts,Atlnta,30345,DeKalb County,138,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 25,M.D. Whitest Medical Institute,Cordele,31015,Crisp County,7,River Valley,"Cordele, GA"
Mar 30,NDC Family Care Inc,Loganville,30052,Gwinnett County,3,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Feb 29,GPC  Renovations,Monroe,30655,Walton County,20,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 27,Gigis Place Inc.,Covington,30016,Newton County,17,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 16,Jim n Nicks,Smyrna,30080,Cobb County,41,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 16,Jim n Nick's,Hiram,30141,Cobb County,38,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 23,"DAL Global Services, LLC",Hapeville,30354,Fulton County,39,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 27,"Focus Brands, LLC",Atlanta,30342,Fulton County,136,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 25,Gifted Creations Salon,Midway,31320,Liberty County,2,Coastal,"Hinesville, GA"
Mar 22,Daniel DeReuter,Dalton,30720,Whitfield County,4,Northwest,"Dalton, GA"
Mar 18,Prohibition,SAVANNAH,31401,Chatham County,42,Coastal,"Savannah, GA"
Mar 25,Alsco,Atlanta,30340,DeKalb County,117,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Gutterglove South & Home Renovation,Marietta,30066,Cobb County,22,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 24,"MEAT DONE RIGHT, LLC",GRAYSON,30017,Gwinnett County,24,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 21,Barteca,Atlanta,30342,DeKalb County,84,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 21,Barteca,Atlanta,30307,DeKalb County,86,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 21,Barteca,Atlanta,30318,DeKalb County,58,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 01,"J ALLEN HENSON JR.,. DDS",Marietta,30064,Cobb County,4,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 06,Carestream Dental LLC,Atlanta,30339,Cobb County,196,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 16,Kai Kare LLC,Atlanta,30305,Fulton County,34,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 30,nhtllc,greensboro,30642,Greene County,6,Northeast,
Mar 27,Crestline Hotels & Resorts,Peachtree Corners,30092,Gwinnett County,48,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 06,"St Joseph Clinic, P.C.",DALTON,30720,Whitfield County,13,Northwest,"Dalton, GA"
Apr 01,Emergency Dental Service LLC,Savannah,31406,Chatham County,5,Coastal,"Savannah, GA"
Mar 27,"G2 Secure Staff, LLC",Atlanta,30354,Clayton County,122,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 02,Straight Line Roofing,Villa RIca,30180,Carroll County,14,Three Rivers,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 01,A Book Nook Inc,Decatur,30033,DeKalb County,17,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 12,IMP Mechanical LLC,Fayetteville,30214,Fayette County,16,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 07,"The Martin-Brower Company, L.L.C.",East Point,30349,Fulton County,84,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 02,"Austrian Motors, Ltd",Atlanta,30318,Fulton County,5,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 23,Arizona's at Stonecrest,Lithonia,30038,DeKalb County,60,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 02,Coastal Center for Developmental Services,Savannah,31406,Chatham County,132,Coastal,"Savannah, GA"
Mar 20,Complete Preservation Services INC (CPS INC),LAGRANGE,30241,Troup County,1,Three Rivers,"LaGrange, GA-AL"
Mar 26,Daiohs First Choice Coffee Service,norcross,30071,Gwinnett County,5,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 10,hyacinta llc,lilburn,30047,Gwinnett County,1,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 13,Alert Limited Partnership,Brunswick,31521,Glynn County,1,Coastal,"Brunswick, GA"
Mar 31,handyman of villarica llc,villa rica,30180,Carroll County,10,Three Rivers,"Atlanta-Sandy Springs-Alpharetta, GA"
Jan 03,Walmart,Atlanta,30349,Fulton County,20,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 02,RA Sushi Atlanta Midtown Corp.,Atlanta,30309,Fulton County,94,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Asbury Automotive,Alpharetta,30009,Fulton County,5,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Feb 28,Accounting & Tax Service of Rome,Rome,30161,Floyd County,1,Northwest,"Rome, GA"
Mar 27,IH Services,Trion,30753,Chattooga County,46,Northwest,"Summerville, GA"
Apr 03,Asbury Automotive,Atlanta,30350,Fulton County,16,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Asbury Automotive,Atlanta,30360,Fulton County,26,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Asbury Automotive,Cumming,30041,Forsyth County,13,Georgia Mountains,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Asbury Automotive,Decatur,30033,DeKalb County,59,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Asbury Automotive,Lithonia,30038,DeKalb County,21,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Asbury Automotive,Lithonia,30038,DeKalb County,19,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Asbury Automotive,Lithonia,30038,DeKalb County,49,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Asbury Automotive,Marietta,30060,Cobb County,32,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Asbury Automotive,Marietta,30060,Cobb County,38,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Asbury Automotive,Roswell,30076,Fulton County,42,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Asbury Automotive,Roswell,30076,Fulton County,54,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Asbury Automotive,Roswell,30076,Fulton County,49,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Asbury Automotive,Smyrna,30080,Cobb County,64,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Asbury Automotive,Union City,30291,Fulton County,26,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Asbury Automotive,Union City,30291,Fulton County,36,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Asbury Automotive,Union City,30291,Fulton County,26,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 23,Benevis Dental Practice Management Services,marietta,30067,Cobb County,158,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 23,Candler Road Dental PC,Marietta,30067,Cobb County,175,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 31,"B&O Joint Venture, LLC",Glynco,31520,Glynn County,100,Coastal,"Brunswick, GA"
Mar 19,Uncle Julios,Atlanta,30309,Fulton County,73,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 23,North American Dental Group,New Castle,16101,Lawrence County,360,,
Apr 02,"Art Carpet, LLC",Chatsworth,30705,Murray County,10,Northwest,"Dalton, GA"
Apr 11,FLOOR COVERING INSTALLATION,CARTERSVILLE,30120,Bartow County,2,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 30,Pinnacle Staffing,Villa Rica,30180,Carroll County,50,Three Rivers,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 23,Kelsey Hayes,Flowery Branch,30542,Hall County,386,Georgia Mountains,"Gainesville, GA"
Mar 29,"Suit Supply (USA), Inc",Atlanta,30326,Fulton County,28,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,"Mindbody, Inc.",Atlanta,30363,Fulton County,89,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 04,Beeline Canada Accessories,Atlanta,30309,Fulton County,12,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 22,CR&G LLC,Dalton,30720,Whitfield County,22,Northwest,"Dalton, GA"
Apr 04,MATCO INC,DALTON,30722,Whitfield County,20,Northwest,"Dalton, GA"
