Place,Latitude,Longitude
Atlanta,33.748652,-84.38877
Rome,34.257502,-85.16401
Columbus,32.460285,-84.990168
Macon,32.840776,-83.633528
Albany,31.578155,-84.155458
Valdosta,30.831788,-83.277731
Savannah,32.077756,-81.09111
Augusta,33.473638,-81.988615
Athens,33.95109,-83.359255
