Area,Date,date,Claims,CumClaims,Employed,Unemployed,PctChngEmployed
"Columbus, GA-AL",05/02/2020,May 02,4215,30152,68923.0,35544.0,-30.4
"Columbus, GA-AL",05/09/2020,May 09,4800,34952,64123.0,40344.0,-35.3
"Cordele, GA",03/07/2020,Mar 07,24,24,9061.0,488.0,-0.3
"Cordele, GA",03/14/2020,Mar 14,26,50,9035.0,514.0,-0.6
"Cordele, GA",03/21/2020,Mar 21,15,65,9020.0,529.0,-0.7
"Cordele, GA",03/28/2020,Mar 28,251,316,8769.0,780.0,-3.5
"Cordele, GA",04/04/2020,Apr 04,795,1111,7974.0,1575.0,-12.2
"Cordele, GA",04/11/2020,Apr 11,662,1773,7312.0,2237.0,-19.5
"Cordele, GA",04/18/2020,Apr 18,578,2351,6734.0,2815.0,-25.9
"Cordele, GA",04/25/2020,Apr 25,615,2966,6119.0,3430.0,-32.6
"Cordele, GA",05/02/2020,May 02,533,3499,5586.0,3963.0,-38.5
"Cordele, GA",05/09/2020,May 09,582,4081,5004.0,4545.0,-44.9
"Cornelia, GA",03/07/2020,Mar 07,17,17,18260.0,889.0,-0.1
"Cornelia, GA",03/14/2020,Mar 14,174,191,18086.0,1063.0,-1.0
"Cornelia, GA",03/21/2020,Mar 21,42,233,18044.0,1105.0,-1.3
"Cornelia, GA",03/28/2020,Mar 28,381,614,17663.0,1486.0,-3.4
"Cornelia, GA",04/04/2020,Apr 04,1145,1759,16518.0,2631.0,-9.6
"Cornelia, GA",04/11/2020,Apr 11,782,2541,15736.0,3413.0,-13.9
"Cornelia, GA",04/18/2020,Apr 18,850,3391,14886.0,4263.0,-18.6
"Cornelia, GA",04/25/2020,Apr 25,715,4106,14171.0,4978.0,-22.5
"Cornelia, GA",05/02/2020,May 02,556,4662,13615.0,5534.0,-25.5
"Cornelia, GA",05/09/2020,May 09,622,5284,12993.0,6156.0,-28.9
"Dalton, GA",03/07/2020,Mar 07,127,127,55500.0,3110.0,-0.2
"Dalton, GA",03/14/2020,Mar 14,91,218,55409.0,3201.0,-0.4
"Dalton, GA",03/21/2020,Mar 21,95,313,55314.0,3296.0,-0.6
"Dalton, GA",03/28/2020,Mar 28,1284,1597,54030.0,4580.0,-2.9
"Dalton, GA",04/04/2020,Apr 04,3651,5248,50379.0,8231.0,-9.4
"Dalton, GA",04/11/2020,Apr 11,4878,10126,45501.0,13109.0,-18.2
"Dalton, GA",04/18/2020,Apr 18,9490,19616,36011.0,22599.0,-35.3
"Dalton, GA",04/25/2020,Apr 25,5454,25070,30557.0,28053.0,-45.1
"Dalton, GA",05/02/2020,May 02,4815,29885,25742.0,32868.0,-53.7
"Dalton, GA",05/09/2020,May 09,5298,35183,20444.0,38166.0,-63.2
"Douglas, GA",03/07/2020,Mar 07,75,75,22966.0,1281.0,-0.3
"Douglas, GA",03/14/2020,Mar 14,73,148,22893.0,1354.0,-0.6
"Douglas, GA",03/21/2020,Mar 21,41,189,22852.0,1395.0,-0.8
"Douglas, GA",03/28/2020,Mar 28,468,657,22384.0,1863.0,-2.9
"Douglas, GA",04/04/2020,Apr 04,1717,2374,20667.0,3580.0,-10.3
"Douglas, GA",04/11/2020,Apr 11,1445,3819,19222.0,5025.0,-16.6
"Douglas, GA",04/18/2020,Apr 18,1621,5440,17601.0,6646.0,-23.6
"Douglas, GA",04/25/2020,Apr 25,1654,7094,15947.0,8300.0,-30.8
"Douglas, GA",05/02/2020,May 02,1299,8393,14648.0,9599.0,-36.4
"Douglas, GA",05/09/2020,May 09,1222,9615,13426.0,10821.0,-41.7
"Dublin, GA",03/07/2020,Mar 07,37,37,24250.0,1614.0,-0.2
"Dublin, GA",03/14/2020,Mar 14,76,113,24174.0,1690.0,-0.5
"Dublin, GA",03/21/2020,Mar 21,24,137,24150.0,1714.0,-0.6
"Dublin, GA",03/28/2020,Mar 28,537,674,23613.0,2251.0,-2.8
"Dublin, GA",04/04/2020,Apr 04,1336,2010,22277.0,3587.0,-8.3
"Dublin, GA",04/11/2020,Apr 11,1150,3160,21127.0,4737.0,-13.0
"Dublin, GA",04/18/2020,Apr 18,1203,4363,19924.0,5940.0,-18.0
"Dublin, GA",04/25/2020,Apr 25,858,5221,19066.0,6798.0,-21.5
"Dublin, GA",05/02/2020,May 02,717,5938,18349.0,7515.0,-24.4
"Dublin, GA",05/09/2020,May 09,840,6778,17509.0,8355.0,-27.9
"Eufaula, AL-GA",03/07/2020,Mar 07,0,0,752.0,49.0,0.0
"Eufaula, AL-GA",03/14/2020,Mar 14,1,1,751.0,50.0,-0.1
"Eufaula, AL-GA",03/21/2020,Mar 21,0,1,751.0,50.0,-0.1
"Eufaula, AL-GA",03/28/2020,Mar 28,2,3,749.0,52.0,-0.4
"Eufaula, AL-GA",04/04/2020,Apr 04,8,11,741.0,60.0,-1.5
"Eufaula, AL-GA",04/11/2020,Apr 11,6,17,735.0,66.0,-2.3
"Eufaula, AL-GA",04/18/2020,Apr 18,8,25,727.0,74.0,-3.3
"Eufaula, AL-GA",04/25/2020,Apr 25,18,43,709.0,92.0,-5.7
"Eufaula, AL-GA",05/02/2020,May 02,8,51,701.0,100.0,-6.8
"Eufaula, AL-GA",05/09/2020,May 09,9,60,692.0,109.0,-8.0
"Fitzgerald, GA",03/07/2020,Mar 07,10,10,4985.0,411.0,-0.2
"Fitzgerald, GA",03/14/2020,Mar 14,8,18,4977.0,419.0,-0.4
"Fitzgerald, GA",03/21/2020,Mar 21,44,62,4933.0,463.0,-1.2
"Fitzgerald, GA",03/28/2020,Mar 28,129,191,4804.0,592.0,-3.8
"Fitzgerald, GA",04/04/2020,Apr 04,435,626,4369.0,1027.0,-12.5
"Fitzgerald, GA",04/11/2020,Apr 11,1008,1634,3361.0,2035.0,-32.7
"Fitzgerald, GA",04/18/2020,Apr 18,997,2631,2364.0,3032.0,-52.7
"Fitzgerald, GA",04/25/2020,Apr 25,1015,3646,1349.0,4047.0,-73.0
"Fitzgerald, GA",05/02/2020,May 02,489,4135,860.0,4536.0,-82.8
"Fitzgerald, GA",05/09/2020,May 09,559,4694,301.0,5095.0,-94.0
"Gainesville, GA",03/07/2020,Mar 07,54,54,99321.0,3602.0,-0.1
"Gainesville, GA",03/14/2020,Mar 14,94,148,99227.0,3696.0,-0.1
"Gainesville, GA",03/21/2020,Mar 21,130,278,99097.0,3826.0,-0.3
"Gainesville, GA",03/28/2020,Mar 28,1992,2270,97105.0,5818.0,-2.3
"Gainesville, GA",04/04/2020,Apr 04,7087,9357,90018.0,12905.0,-9.4
"Gainesville, GA",04/11/2020,Apr 11,4688,14045,85330.0,17593.0,-14.1
"Gainesville, GA",04/18/2020,Apr 18,4518,18563,80812.0,22111.0,-18.7
"Gainesville, GA",04/25/2020,Apr 25,4402,22965,76410.0,26513.0,-23.1
"Gainesville, GA",05/02/2020,May 02,4332,27297,72078.0,30845.0,-27.5
"Gainesville, GA",05/09/2020,May 09,3777,31074,68301.0,34622.0,-31.3
"Hinesville, GA",03/07/2020,Mar 07,29,29,33159.0,1661.0,-0.1
"Hinesville, GA",03/14/2020,Mar 14,37,66,33122.0,1698.0,-0.2
"Hinesville, GA",03/21/2020,Mar 21,41,107,33081.0,1739.0,-0.3
"Hinesville, GA",03/28/2020,Mar 28,491,598,32590.0,2230.0,-1.8
"Hinesville, GA",04/04/2020,Apr 04,1922,2520,30668.0,4152.0,-7.6
"Hinesville, GA",04/11/2020,Apr 11,1438,3958,29230.0,5590.0,-11.9
"Hinesville, GA",04/18/2020,Apr 18,1238,5196,27992.0,6828.0,-15.7
"Hinesville, GA",04/25/2020,Apr 25,1461,6657,26531.0,8289.0,-20.1
"Hinesville, GA",05/02/2020,May 02,1475,8132,25056.0,9764.0,-24.5
"Hinesville, GA",05/09/2020,May 09,1471,9603,23585.0,11235.0,-28.9
"Jefferson, GA",03/07/2020,Mar 07,23,23,35319.0,1267.0,-0.1
"Jefferson, GA",03/14/2020,Mar 14,39,62,35280.0,1306.0,-0.2
"Jefferson, GA",03/21/2020,Mar 21,55,117,35225.0,1361.0,-0.3
"Jefferson, GA",03/28/2020,Mar 28,746,863,34479.0,2107.0,-2.4
"Jefferson, GA",04/04/2020,Apr 04,2354,3217,32125.0,4461.0,-9.1
"Jefferson, GA",04/11/2020,Apr 11,1915,5132,30210.0,6376.0,-14.5
"Jefferson, GA",04/18/2020,Apr 18,1982,7114,28228.0,8358.0,-20.1
"Jefferson, GA",04/25/2020,Apr 25,1833,8947,26395.0,10191.0,-25.3
"Jefferson, GA",05/02/2020,May 02,1779,10726,24616.0,11970.0,-30.3
"Jefferson, GA",05/09/2020,May 09,1545,12271,23071.0,13515.0,-34.7
"Jesup, GA",03/07/2020,Mar 07,9,9,10808.0,550.0,-0.1
"Jesup, GA",03/14/2020,Mar 14,7,16,10801.0,557.0,-0.1
"Jesup, GA",03/21/2020,Mar 21,12,28,10789.0,569.0,-0.3
"Jesup, GA",03/28/2020,Mar 28,137,165,10652.0,706.0,-1.5
"Jesup, GA",04/04/2020,Apr 04,597,762,10055.0,1303.0,-7.0
"Jesup, GA",04/11/2020,Apr 11,421,1183,9634.0,1724.0,-10.9
"Jesup, GA",04/18/2020,Apr 18,567,1750,9067.0,2291.0,-16.2
"Jesup, GA",04/25/2020,Apr 25,502,2252,8565.0,2793.0,-20.8
"Jesup, GA",05/02/2020,May 02,468,2720,8097.0,3261.0,-25.1
"Jesup, GA",05/09/2020,May 09,414,3134,7683.0,3675.0,-29.0
"LaGrange, GA-AL",03/07/2020,Mar 07,37,37,36115.0,1527.0,-0.1
"LaGrange, GA-AL",03/14/2020,Mar 14,34,71,36081.0,1561.0,-0.2
"LaGrange, GA-AL",03/21/2020,Mar 21,46,117,36035.0,1607.0,-0.3
"LaGrange, GA-AL",03/28/2020,Mar 28,725,842,35310.0,2332.0,-2.3
"LaGrange, GA-AL",04/04/2020,Apr 04,2233,3075,33077.0,4565.0,-8.5
"LaGrange, GA-AL",04/11/2020,Apr 11,3358,6433,29719.0,7923.0,-17.8
"LaGrange, GA-AL",04/18/2020,Apr 18,2496,8929,27223.0,10419.0,-24.7
"LaGrange, GA-AL",04/25/2020,Apr 25,2667,11596,24556.0,13086.0,-32.1
"LaGrange, GA-AL",05/02/2020,May 02,1597,13193,22959.0,14683.0,-36.5
"LaGrange, GA-AL",05/09/2020,May 09,1725,14918,21234.0,16408.0,-41.3
"Macon-Bibb County, GA",03/07/2020,Mar 07,81,81,98961.0,4899.0,-0.1
"Macon-Bibb County, GA",03/14/2020,Mar 14,108,189,98853.0,5007.0,-0.2
"Macon-Bibb County, GA",03/21/2020,Mar 21,181,370,98672.0,5188.0,-0.4
"Macon-Bibb County, GA",03/28/2020,Mar 28,2342,2712,96330.0,7530.0,-2.7
"Macon-Bibb County, GA",04/04/2020,Apr 04,6270,8982,90060.0,13800.0,-9.1
"Macon-Bibb County, GA",04/11/2020,Apr 11,5226,14208,84834.0,19026.0,-14.3
"Macon-Bibb County, GA",04/18/2020,Apr 18,3700,17908,81134.0,22726.0,-18.1
"Macon-Bibb County, GA",04/25/2020,Apr 25,4560,22468,76574.0,27286.0,-22.7
"Macon-Bibb County, GA",05/02/2020,May 02,3729,26197,72845.0,31015.0,-26.5
"Macon-Bibb County, GA",05/09/2020,May 09,4172,30369,68673.0,35187.0,-30.7
"Milledgeville, GA",03/07/2020,Mar 07,21,21,19064.0,1200.0,-0.1
"Milledgeville, GA",03/14/2020,Mar 14,21,42,19043.0,1221.0,-0.2
"Milledgeville, GA",03/21/2020,Mar 21,16,58,19027.0,1237.0,-0.3
"Milledgeville, GA",03/28/2020,Mar 28,500,558,18527.0,1737.0,-2.9
"Milledgeville, GA",04/04/2020,Apr 04,1210,1768,17317.0,2947.0,-9.3
"Milledgeville, GA",04/11/2020,Apr 11,1076,2844,16241.0,4023.0,-14.9
"Milledgeville, GA",04/18/2020,Apr 18,850,3694,15391.0,4873.0,-19.4
"Milledgeville, GA",04/25/2020,Apr 25,957,4651,14434.0,5830.0,-24.4
"Milledgeville, GA",05/02/2020,May 02,1046,5697,13388.0,6876.0,-29.9
"Milledgeville, GA",05/09/2020,May 09,790,6487,12598.0,7666.0,-34.0
"Moultrie, GA",03/07/2020,Mar 07,35,35,20781.0,838.0,-0.2
"Moultrie, GA",03/14/2020,Mar 14,21,56,20760.0,859.0,-0.3
"Moultrie, GA",03/21/2020,Mar 21,22,78,20738.0,881.0,-0.4
"Moultrie, GA",03/28/2020,Mar 28,224,302,20514.0,1105.0,-1.5
"Moultrie, GA",04/04/2020,Apr 04,959,1261,19555.0,2064.0,-6.1
"Moultrie, GA",04/11/2020,Apr 11,786,2047,18769.0,2850.0,-9.8
"Moultrie, GA",04/18/2020,Apr 18,686,2733,18083.0,3536.0,-13.1
"Moultrie, GA",04/25/2020,Apr 25,698,3431,17385.0,4234.0,-16.5
"Moultrie, GA",05/02/2020,May 02,706,4137,16679.0,4940.0,-19.9
"Moultrie, GA",05/09/2020,May 09,617,4754,16062.0,5557.0,-22.8
"Rome, GA",03/07/2020,Mar 07,62,62,42456.0,2034.0,-0.1
"Rome, GA",03/14/2020,Mar 14,45,107,42411.0,2079.0,-0.3
"Rome, GA",03/21/2020,Mar 21,100,207,42311.0,2179.0,-0.5
"Rome, GA",03/28/2020,Mar 28,1044,1251,41267.0,3223.0,-2.9
"Rome, GA",04/04/2020,Apr 04,3865,5116,37402.0,7088.0,-12.0
"Rome, GA",04/11/2020,Apr 11,3142,8258,34260.0,10230.0,-19.4
"Rome, GA",04/18/2020,Apr 18,2898,11156,31362.0,13128.0,-26.2
"Rome, GA",04/25/2020,Apr 25,2218,13374,29144.0,15346.0,-31.5
"Rome, GA",05/02/2020,May 02,1906,15280,27238.0,17252.0,-35.9
"Rome, GA",05/09/2020,May 09,2138,17418,25100.0,19390.0,-41.0
"Savannah, GA",03/07/2020,Mar 07,133,133,180942.0,8026.0,-0.1
"Savannah, GA",03/14/2020,Mar 14,146,279,180796.0,8172.0,-0.2
"Savannah, GA",03/21/2020,Mar 21,508,787,180288.0,8680.0,-0.4
"Savannah, GA",03/28/2020,Mar 28,6821,7608,173467.0,15501.0,-4.2
"Savannah, GA",04/04/2020,Apr 04,18817,26425,154650.0,34318.0,-14.6
"Savannah, GA",04/11/2020,Apr 11,13014,39439,141636.0,47332.0,-21.8
"Savannah, GA",04/18/2020,Apr 18,11322,50761,130314.0,58654.0,-28.0
"Savannah, GA",04/25/2020,Apr 25,11070,61831,119244.0,69724.0,-34.1
"Savannah, GA",05/02/2020,May 02,10535,72366,108709.0,80259.0,-40.0
"Savannah, GA",05/09/2020,May 09,9778,82144,98931.0,90037.0,-45.4
"St. Marys, GA",03/07/2020,Mar 07,10,10,19953.0,946.0,-0.1
"St. Marys, GA",03/14/2020,Mar 14,10,20,19943.0,956.0,-0.1
"St. Marys, GA",03/21/2020,Mar 21,21,41,19922.0,977.0,-0.2
"St. Marys, GA",03/28/2020,Mar 28,384,425,19538.0,1361.0,-2.1
"St. Marys, GA",04/04/2020,Apr 04,1264,1689,18274.0,2625.0,-8.5
"St. Marys, GA",04/11/2020,Apr 11,774,2463,17500.0,3399.0,-12.3
"St. Marys, GA",04/18/2020,Apr 18,772,3235,16728.0,4171.0,-16.2
"St. Marys, GA",04/25/2020,Apr 25,778,4013,15950.0,4949.0,-20.1
"St. Marys, GA",05/02/2020,May 02,777,4790,15173.0,5726.0,-24.0
"St. Marys, GA",05/09/2020,May 09,805,5595,14368.0,6531.0,-28.0
"Statesboro, GA",03/07/2020,Mar 07,111,111,34935.0,2063.0,-0.3
"Statesboro, GA",03/14/2020,Mar 14,42,153,34893.0,2105.0,-0.4
"Statesboro, GA",03/21/2020,Mar 21,86,239,34807.0,2191.0,-0.7
"Statesboro, GA",03/28/2020,Mar 28,736,975,34071.0,2927.0,-2.8
"Statesboro, GA",04/04/2020,Apr 04,2633,3608,31438.0,5560.0,-10.3
"Statesboro, GA",04/11/2020,Apr 11,2078,5686,29360.0,7638.0,-16.2
"Statesboro, GA",04/18/2020,Apr 18,1675,7361,27685.0,9313.0,-21.0
"Statesboro, GA",04/25/2020,Apr 25,1687,9048,25998.0,11000.0,-25.8
"Statesboro, GA",05/02/2020,May 02,1759,10807,24239.0,12759.0,-30.8
"Statesboro, GA",05/09/2020,May 09,1721,12528,22518.0,14480.0,-35.7
"Summerville, GA",03/07/2020,Mar 07,18,18,9726.0,603.0,-0.2
"Summerville, GA",03/14/2020,Mar 14,10,28,9716.0,613.0,-0.3
"Summerville, GA",03/21/2020,Mar 21,16,44,9700.0,629.0,-0.5
"Summerville, GA",03/28/2020,Mar 28,98,142,9602.0,727.0,-1.5
"Summerville, GA",04/04/2020,Apr 04,799,941,8803.0,1526.0,-9.7
"Summerville, GA",04/11/2020,Apr 11,1700,2641,7103.0,3226.0,-27.1
"Summerville, GA",04/18/2020,Apr 18,676,3317,6427.0,3902.0,-34.0
"Summerville, GA",04/25/2020,Apr 25,544,3861,5883.0,4446.0,-39.6
"Summerville, GA",05/02/2020,May 02,370,4231,5513.0,4816.0,-43.4
"Summerville, GA",05/09/2020,May 09,751,4982,4762.0,5567.0,-51.1
"Thomaston, GA",03/07/2020,Mar 07,14,14,10925.0,520.0,-0.1
"Thomaston, GA",03/14/2020,Mar 14,16,30,10909.0,536.0,-0.3
"Thomaston, GA",03/21/2020,Mar 21,15,45,10894.0,551.0,-0.4
"Thomaston, GA",03/28/2020,Mar 28,120,165,10774.0,671.0,-1.5
"Thomaston, GA",04/04/2020,Apr 04,844,1009,9930.0,1515.0,-9.2
"Thomaston, GA",04/11/2020,Apr 11,703,1712,9227.0,2218.0,-15.7
"Thomaston, GA",04/18/2020,Apr 18,562,2274,8665.0,2780.0,-20.8
"Thomaston, GA",04/25/2020,Apr 25,574,2848,8091.0,3354.0,-26.0
"Thomaston, GA",05/02/2020,May 02,582,3430,7509.0,3936.0,-31.4
"Thomaston, GA",05/09/2020,May 09,446,3876,7063.0,4382.0,-35.4
"Thomasville, GA",03/07/2020,Mar 07,13,13,15671.0,840.0,-0.1
"Thomasville, GA",03/14/2020,Mar 14,13,26,15658.0,853.0,-0.2
"Thomasville, GA",03/21/2020,Mar 21,19,45,15639.0,872.0,-0.3
"Thomasville, GA",03/28/2020,Mar 28,392,437,15247.0,1264.0,-2.8
"Thomasville, GA",04/04/2020,Apr 04,989,1426,14258.0,2253.0,-9.1
"Thomasville, GA",04/11/2020,Apr 11,716,2142,13542.0,2969.0,-13.7
"Thomasville, GA",04/18/2020,Apr 18,783,2925,12759.0,3752.0,-18.6
"Thomasville, GA",04/25/2020,Apr 25,719,3644,12040.0,4471.0,-23.2
"Thomasville, GA",05/02/2020,May 02,623,4267,11417.0,5094.0,-27.2
"Thomasville, GA",05/09/2020,May 09,541,4808,10876.0,5635.0,-30.7
"Tifton, GA",03/07/2020,Mar 07,16,16,19315.0,839.0,-0.1
"Tifton, GA",03/14/2020,Mar 14,19,35,19296.0,858.0,-0.2
"Tifton, GA",03/21/2020,Mar 21,12,47,19284.0,870.0,-0.2
"Tifton, GA",03/28/2020,Mar 28,444,491,18840.0,1314.0,-2.5
"Tifton, GA",04/04/2020,Apr 04,1170,1661,17670.0,2484.0,-8.6
"Tifton, GA",04/11/2020,Apr 11,792,2453,16878.0,3276.0,-12.7
"Tifton, GA",04/18/2020,Apr 18,841,3294,16037.0,4117.0,-17.0
"Tifton, GA",04/25/2020,Apr 25,823,4117,15214.0,4940.0,-21.3
"Tifton, GA",05/02/2020,May 02,748,4865,14466.0,5688.0,-25.2
"Tifton, GA",05/09/2020,May 09,627,5492,13839.0,6315.0,-28.4
"Toccoa, GA",03/07/2020,Mar 07,10,10,10169.0,533.0,-0.1
"Toccoa, GA",03/14/2020,Mar 14,20,30,10149.0,553.0,-0.3
"Toccoa, GA",03/21/2020,Mar 21,11,41,10138.0,564.0,-0.4
"Toccoa, GA",03/28/2020,Mar 28,150,191,9988.0,714.0,-1.9
"Toccoa, GA",04/04/2020,Apr 04,677,868,9311.0,1391.0,-8.5
"Toccoa, GA",04/11/2020,Apr 11,533,1401,8778.0,1924.0,-13.8
"Toccoa, GA",04/18/2020,Apr 18,634,2035,8144.0,2558.0,-20.0
"Toccoa, GA",04/25/2020,Apr 25,527,2562,7617.0,3085.0,-25.2
"Toccoa, GA",05/02/2020,May 02,599,3161,7018.0,3684.0,-31.1
"Toccoa, GA",05/09/2020,May 09,494,3655,6524.0,4178.0,-35.9
"Valdosta, GA",03/07/2020,Mar 07,44,44,61014.0,2905.0,-0.1
"Valdosta, GA",03/14/2020,Mar 14,40,84,60974.0,2945.0,-0.1
"Valdosta, GA",03/21/2020,Mar 21,63,147,60911.0,3008.0,-0.2
"Valdosta, GA",03/28/2020,Mar 28,857,1004,60054.0,3865.0,-1.6
"Valdosta, GA",04/04/2020,Apr 04,3862,4866,56192.0,7727.0,-8.0
"Valdosta, GA",04/11/2020,Apr 11,3503,8369,52689.0,11230.0,-13.7
"Valdosta, GA",04/18/2020,Apr 18,2566,10935,50123.0,13796.0,-17.9
"Valdosta, GA",04/25/2020,Apr 25,2749,13684,47374.0,16545.0,-22.4
"Valdosta, GA",05/02/2020,May 02,2513,16197,44861.0,19058.0,-26.5
"Valdosta, GA",05/09/2020,May 09,2310,18507,42551.0,21368.0,-30.3
"Vidalia, GA",03/07/2020,Mar 07,23,23,14724.0,919.0,-0.2
"Vidalia, GA",03/14/2020,Mar 14,24,47,14700.0,943.0,-0.3
"Vidalia, GA",03/21/2020,Mar 21,24,71,14676.0,967.0,-0.5
"Vidalia, GA",03/28/2020,Mar 28,209,280,14467.0,1176.0,-1.9
"Vidalia, GA",04/04/2020,Apr 04,681,961,13786.0,1857.0,-6.5
"Vidalia, GA",04/11/2020,Apr 11,1002,1963,12784.0,2859.0,-13.3
"Vidalia, GA",04/18/2020,Apr 18,887,2850,11897.0,3746.0,-19.3
"Vidalia, GA",04/25/2020,Apr 25,734,3584,11163.0,4480.0,-24.3
"Vidalia, GA",05/02/2020,May 02,589,4173,10574.0,5069.0,-28.3
"Vidalia, GA",05/09/2020,May 09,527,4700,10047.0,5596.0,-31.9
"Warner Robins, GA",03/07/2020,Mar 07,61,61,79339.0,3550.0,-0.1
"Warner Robins, GA",03/14/2020,Mar 14,49,110,79290.0,3599.0,-0.1
"Warner Robins, GA",03/21/2020,Mar 21,139,249,79151.0,3738.0,-0.3
"Warner Robins, GA",03/28/2020,Mar 28,1847,2096,77304.0,5585.0,-2.6
"Warner Robins, GA",04/04/2020,Apr 04,4870,6966,72434.0,10455.0,-8.8
"Warner Robins, GA",04/11/2020,Apr 11,4312,11278,68122.0,14767.0,-14.2
"Warner Robins, GA",04/18/2020,Apr 18,3122,14400,65000.0,17889.0,-18.1
"Warner Robins, GA",04/25/2020,Apr 25,3317,17717,61683.0,21206.0,-22.3
"Warner Robins, GA",05/02/2020,May 02,2593,20310,59090.0,23799.0,-25.6
"Warner Robins, GA",05/09/2020,May 09,3009,23319,56081.0,26808.0,-29.4
"Waycross, GA",03/07/2020,Mar 07,19,19,23387.0,1086.0,-0.1
"Waycross, GA",03/14/2020,Mar 14,22,41,23365.0,1108.0,-0.2
"Waycross, GA",03/21/2020,Mar 21,10,51,23355.0,1118.0,-0.2
"Waycross, GA",03/28/2020,Mar 28,261,312,23094.0,1379.0,-1.3
"Waycross, GA",04/04/2020,Apr 04,1270,1582,21824.0,2649.0,-6.8
"Waycross, GA",04/11/2020,Apr 11,762,2344,21062.0,3411.0,-10.0
"Waycross, GA",04/18/2020,Apr 18,1144,3488,19918.0,4555.0,-14.9
"Waycross, GA",04/25/2020,Apr 25,858,4346,19060.0,5413.0,-18.6
"Waycross, GA",05/02/2020,May 02,791,5137,18269.0,6204.0,-21.9
"Waycross, GA",05/09/2020,May 09,611,5748,17658.0,6815.0,-24.6
